Year	Variable	Value
FY16	sell_exp_P	5
FY16	sell_exp_P	0
FY16	sell_exp_P	0
FY17	sell_exp_P	0
FY17	sell_exp_P	0
FY17	sell_exp_P	5
FY17	sell_exp_P	10
FY17	sell_exp_P	20
FY17	sell_exp_P	30
FY17	sell_exp_P	20
FY17	sell_exp_P	10
FY17	sell_exp_P	5
FY17	sell_exp_P	0
FY17	sell_exp_P	0
FY18	sell_exp_P	0
FY18	sell_exp_P	0
FY18	sell_exp_P	5
FY18	sell_exp_P	10
FY18	sell_exp_P	20
FY18	sell_exp_P	30
FY18	sell_exp_P	20
FY18	sell_exp_P	10
FY18	sell_exp_P	5
FY18	sell_exp_P	0
FY18	sell_exp_P	0
FY19	sell_exp_P	0
FY19	sell_exp_P	0
FY19	sell_exp_P	5
FY19	sell_exp_P	10
FY19	sell_exp_P	20
FY19	sell_exp_P	30
FY19	sell_exp_P	20
FY19	sell_exp_P	10
FY19	sell_exp_P	5
FY19	sell_exp_P	0
FY19	sell_exp_P	0
FY15	admin_exp	0.0127114
FY15	admin_exp	0.0227115
FY15	admin_exp	0.0327116
FY15	admin_exp	0.0427117
FY15	admin_exp	0.0527118
FY15	admin_exp	0.0627119
FY15	admin_exp	0.072712
FY15	admin_exp	0.0827121
FY15	admin_exp	0.0927122
FY15	admin_exp	0.1027123
FY15	admin_exp	0.1127124
FY16	admin_exp	0.0127114
FY16	admin_exp	0.0227115
FY16	admin_exp	0.0327116
FY16	admin_exp	0.0427117
FY16	admin_exp	0.0527118
FY16	admin_exp	0.0627119
FY16	admin_exp	0.072712
FY16	admin_exp	0.0827121
FY16	admin_exp	0.0927122
FY16	admin_exp	0.1027123
FY16	admin_exp	0.1127124
FY17	admin_exp	0.0127114
FY17	admin_exp	0.0227115
FY17	admin_exp	0.0327116
FY17	admin_exp	0.0427117
FY17	admin_exp	0.0527118
FY17	admin_exp	0.0627119
FY17	admin_exp	0.072712
FY17	admin_exp	0.0827121
FY17	admin_exp	0.0927122
FY17	admin_exp	0.1027123
FY17	admin_exp	0.1127124
FY18	admin_exp	0.0127114
FY18	admin_exp	0.0227115
FY18	admin_exp	0.0327116
FY18	admin_exp	0.0427117
FY18	admin_exp	0.0527118
FY18	admin_exp	0.0627119
FY18	admin_exp	0.072712
FY18	admin_exp	0.0827121
FY18	admin_exp	0.0927122
FY18	admin_exp	0.1027123
FY18	admin_exp	0.1127124
FY19	admin_exp	0.0127114
FY19	admin_exp	0.0227115
FY19	admin_exp	0.0327116
FY19	admin_exp	0.0427117
FY19	admin_exp	0.0527118
FY19	admin_exp	0.0627119
FY19	admin_exp	0.072712
FY19	admin_exp	0.0827121
FY19	admin_exp	0.0927122
FY19	admin_exp	0.1027123
FY19	admin_exp	0.1127124
FY15	admin_exp_P	0
FY15	admin_exp_P	0
FY15	admin_exp_P	5
FY15	admin_exp_P	10
FY15	admin_exp_P	20
FY15	admin_exp_P	30
FY15	admin_exp_P	20
FY15	admin_exp_P	10
FY15	admin_exp_P	5
FY15	admin_exp_P	0
FY15	admin_exp_P	0
FY16	admin_exp_P	0
FY16	admin_exp_P	0
FY16	admin_exp_P	5
FY16	admin_exp_P	10
FY16	admin_exp_P	20
FY16	admin_exp_P	30
FY16	admin_exp_P	20
FY16	admin_exp_P	10
FY16	admin_exp_P	5
FY16	admin_exp_P	0
FY16	admin_exp_P	0
FY17	admin_exp_P	0
FY17	admin_exp_P	0
FY17	admin_exp_P	5
FY17	admin_exp_P	10
FY17	admin_exp_P	20
FY17	admin_exp_P	30
FY17	admin_exp_P	20
FY17	admin_exp_P	10
FY17	admin_exp_P	5
FY17	admin_exp_P	0
FY17	admin_exp_P	0
FY18	admin_exp_P	0
FY18	admin_exp_P	0
FY18	admin_exp_P	5
FY18	admin_exp_P	10
FY18	admin_exp_P	20
FY18	admin_exp_P	30
FY18	admin_exp_P	20
FY18	admin_exp_P	10
FY18	admin_exp_P	5
FY18	admin_exp_P	0
FY18	admin_exp_P	0
FY19	admin_exp_P	0
FY19	admin_exp_P	0
FY19	admin_exp_P	5
FY19	admin_exp_P	10
FY19	admin_exp_P	20
FY19	admin_exp_P	30
FY19	admin_exp_P	20
FY19	admin_exp_P	10
FY19	admin_exp_P	5
FY19	admin_exp_P	0
FY19	admin_exp_P	0
FY15	loans_in	0.055
FY15	loans_in	0.06
FY15	loans_in	0.065
FY15	loans_in	0.07
FY15	loans_in	0.075
FY15	loans_in	0.08
FY15	loans_in	0.085
FY15	loans_in	0.09
FY15	loans_in	0.095
FY15	loans_in	0.1
FY15	loans_in	0.105
FY16	loans_in	0.055
FY16	loans_in	0.06
FY16	loans_in	0.065
FY16	loans_in	0.07
FY16	loans_in	0.075
FY16	loans_in	0.08
FY16	loans_in	0.085
FY16	loans_in	0.09
FY16	loans_in	0.095
FY16	loans_in	0.1
FY16	loans_in	0.105
FY17	loans_in	0.055
FY17	loans_in	0.06
FY17	loans_in	0.065
FY17	loans_in	0.07
FY17	loans_in	0.075
FY17	loans_in	0.08
FY17	loans_in	0.085
FY17	loans_in	0.09
FY17	loans_in	0.095
FY17	loans_in	0.1
FY17	loans_in	0.105
FY18	loans_in	0.055
FY18	loans_in	0.06
FY18	loans_in	0.065
FY18	loans_in	0.07
FY18	loans_in	0.075
FY18	loans_in	0.08
FY18	loans_in	0.085
FY18	loans_in	0.09
FY18	loans_in	0.095
FY18	loans_in	0.1
FY18	loans_in	0.105
FY19	loans_in	0.055
FY19	loans_in	0.06
FY19	loans_in	0.065
FY19	loans_in	0.07
FY19	loans_in	0.075
FY19	loans_in	0.08
FY19	loans_in	0.085
FY19	loans_in	0.09
FY19	loans_in	0.095
FY19	loans_in	0.1
FY19	loans_in	0.105
FY15	loans_in_P	0
FY15	loans_in_P	0
FY15	loans_in_P	5
FY15	loans_in_P	10
FY15	loans_in_P	20
FY15	loans_in_P	30
FY15	loans_in_P	20
FY15	loans_in_P	10
FY15	loans_in_P	5
FY15	loans_in_P	0
FY15	loans_in_P	0
FY16	loans_in_P	0
FY16	loans_in_P	0
FY16	loans_in_P	10
FY16	loans_in_P	20
FY16	loans_in_P	40
FY16	loans_in_P	20
FY16	loans_in_P	10
FY16	loans_in_P	0
FY16	loans_in_P	0
FY16	loans_in_P	0
FY16	loans_in_P	0
FY17	loans_in_P	0
FY17	loans_in_P	0
FY17	loans_in_P	5
FY17	loans_in_P	10
FY17	loans_in_P	20
FY17	loans_in_P	30
FY17	loans_in_P	20
FY17	loans_in_P	10
FY17	loans_in_P	5
FY17	loans_in_P	0
FY17	loans_in_P	0
FY18	loans_in_P	0
FY18	loans_in_P	0
FY18	loans_in_P	10
FY18	loans_in_P	20
FY18	loans_in_P	40
FY18	loans_in_P	20
FY18	loans_in_P	10
FY18	loans_in_P	0
FY18	loans_in_P	0
FY18	loans_in_P	0
FY18	loans_in_P	0
FY19	loans_in_P	0
FY19	loans_in_P	0
FY19	loans_in_P	5
FY19	loans_in_P	10
FY19	loans_in_P	20
FY19	loans_in_P	30
FY19	loans_in_P	20
FY19	loans_in_P	10
FY19	loans_in_P	5
FY19	loans_in_P	0
FY19	loans_in_P	0
FY15	invdev_fund	0
FY15	invdev_fund	0.01
FY15	invdev_fund	0.02
FY15	invdev_fund	0.03
FY15	invdev_fund	0.04
FY15	invdev_fund	0.05
FY15	invdev_fund	0.06
FY15	invdev_fund	0.07
FY15	invdev_fund	0.08
FY15	invdev_fund	0.09
FY15	invdev_fund	0.1
FY16	invdev_fund	0
FY16	invdev_fund	0.01
FY16	invdev_fund	0.02
FY16	invdev_fund	0.03
FY16	invdev_fund	0.04
FY16	invdev_fund	0.05
FY16	invdev_fund	0.06
FY16	invdev_fund	0.07
FY16	invdev_fund	0.08
FY16	invdev_fund	0.09
FY16	invdev_fund	0.1
FY17	invdev_fund	0
FY17	invdev_fund	0.01
FY17	invdev_fund	0.02
FY17	invdev_fund	0.03
FY17	invdev_fund	0.04
FY17	invdev_fund	0.05
FY17	invdev_fund	0.06
FY17	invdev_fund	0.07
FY17	invdev_fund	0.08
FY17	invdev_fund	0.09
FY17	invdev_fund	0.1
FY18	invdev_fund	0
FY18	invdev_fund	0.01
FY18	invdev_fund	0.02
FY18	invdev_fund	0.03
FY18	invdev_fund	0.04
FY18	invdev_fund	0.05
FY18	invdev_fund	0.06
FY18	invdev_fund	0.07
FY18	invdev_fund	0.08
FY18	invdev_fund	0.09
FY18	invdev_fund	0.1
FY19	invdev_fund	0
FY19	invdev_fund	0.01
FY19	invdev_fund	0.02
FY19	invdev_fund	0.03
FY19	invdev_fund	0.04
FY19	invdev_fund	0.05
FY19	invdev_fund	0.06
FY19	invdev_fund	0.07
FY19	invdev_fund	0.08
FY19	invdev_fund	0.09
FY19	invdev_fund	0.1
FY15	invdev_fund_P	0
FY15	invdev_fund_P	0
FY15	invdev_fund_P	0
FY15	invdev_fund_P	10
FY15	invdev_fund_P	20
FY15	invdev_fund_P	40
FY15	invdev_fund_P	20
FY15	invdev_fund_P	10
FY15	invdev_fund_P	0
FY15	invdev_fund_P	0
FY15	invdev_fund_P	0
FY16	invdev_fund_P	0
FY16	invdev_fund_P	0
FY16	invdev_fund_P	5
FY16	invdev_fund_P	10
FY16	invdev_fund_P	20
FY16	invdev_fund_P	30
FY16	invdev_fund_P	20
FY16	invdev_fund_P	10
FY16	invdev_fund_P	5
FY16	invdev_fund_P	0
FY16	invdev_fund_P	0
FY17	invdev_fund_P	0
FY17	invdev_fund_P	0
FY17	invdev_fund_P	10
FY17	invdev_fund_P	20
FY17	invdev_fund_P	40
FY17	invdev_fund_P	20
FY17	invdev_fund_P	10
FY17	invdev_fund_P	0
FY17	invdev_fund_P	0
FY17	invdev_fund_P	0
FY17	invdev_fund_P	0
FY18	invdev_fund_P	0
FY18	invdev_fund_P	0
FY18	invdev_fund_P	5
FY18	invdev_fund_P	10
FY18	invdev_fund_P	20
FY18	invdev_fund_P	30
FY18	invdev_fund_P	20
FY18	invdev_fund_P	10
FY18	invdev_fund_P	5
FY18	invdev_fund_P	0
FY18	invdev_fund_P	0
FY19	invdev_fund_P	0
FY19	invdev_fund_P	0
FY19	invdev_fund_P	10
FY19	invdev_fund_P	20
FY19	invdev_fund_P	40
FY19	invdev_fund_P	20
FY19	invdev_fund_P	10
FY19	invdev_fund_P	0
FY19	invdev_fund_P	0
FY19	invdev_fund_P	0
FY19	invdev_fund_P	0
FY15	fin_prov	0
FY15	fin_prov	0.01
FY15	fin_prov	0.02
FY15	fin_prov	0.03
FY15	fin_prov	0.04
FY15	fin_prov	0.05
FY15	fin_prov	0.06
FY15	fin_prov	0.07
FY15	fin_prov	0.08
FY15	fin_prov	0.09
FY15	fin_prov	0.1
FY16	fin_prov	0
FY16	fin_prov	0.01
FY16	fin_prov	0.02
FY16	fin_prov	0.03
FY16	fin_prov	0.04
FY16	fin_prov	0.05
FY16	fin_prov	0.06
FY16	fin_prov	0.07
FY16	fin_prov	0.08
FY16	fin_prov	0.09
FY16	fin_prov	0.1
FY17	fin_prov	0
FY17	fin_prov	0.01
FY17	fin_prov	0.02
FY17	fin_prov	0.03
FY17	fin_prov	0.04
FY17	fin_prov	0.05
FY17	fin_prov	0.06
FY17	fin_prov	0.07
FY17	fin_prov	0.08
FY17	fin_prov	0.09
FY17	fin_prov	0.1
FY18	fin_prov	0
FY18	fin_prov	0.01
FY18	fin_prov	0.02
FY18	fin_prov	0.03
FY18	fin_prov	0.04
FY18	fin_prov	0.05
FY18	fin_prov	0.06
FY18	fin_prov	0.07
FY18	fin_prov	0.08
FY18	fin_prov	0.09
FY18	fin_prov	0.1
FY19	fin_prov	0
FY19	fin_prov	0.01
FY19	fin_prov	0.02
FY19	fin_prov	0.03
FY19	fin_prov	0.04
FY19	fin_prov	0.05
FY19	fin_prov	0.06
FY19	fin_prov	0.07
FY19	fin_prov	0.08
FY19	fin_prov	0.09
FY19	fin_prov	0.1
FY15	fin_prov_P	0
FY15	fin_prov_P	0
FY15	fin_prov_P	0
FY15	fin_prov_P	10
FY15	fin_prov_P	20
FY15	fin_prov_P	40
FY15	fin_prov_P	20
FY15	fin_prov_P	10
FY15	fin_prov_P	0
FY15	fin_prov_P	0
FY15	fin_prov_P	0
FY16	fin_prov_P	0
FY16	fin_prov_P	0
FY16	fin_prov_P	5
FY16	fin_prov_P	10
FY16	fin_prov_P	20
FY16	fin_prov_P	30
FY16	fin_prov_P	20
FY16	fin_prov_P	10
FY16	fin_prov_P	5
FY16	fin_prov_P	0
FY16	fin_prov_P	0
FY17	fin_prov_P	0
FY17	fin_prov_P	0
FY17	fin_prov_P	5
FY17	fin_prov_P	10
FY17	fin_prov_P	20
FY17	fin_prov_P	30
FY17	fin_prov_P	20
FY17	fin_prov_P	10
FY17	fin_prov_P	5
FY17	fin_prov_P	0
FY17	fin_prov_P	0
FY18	fin_prov_P	0
FY18	fin_prov_P	0
FY18	fin_prov_P	10
FY18	fin_prov_P	20
FY18	fin_prov_P	40
FY18	fin_prov_P	20
FY18	fin_prov_P	10
FY18	fin_prov_P	0
FY18	fin_prov_P	0
FY18	fin_prov_P	0
FY18	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	100
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY19	fin_prov_P	0
FY15	div_per_share	750
FY15	div_per_share	800
FY15	div_per_share	850
FY15	div_per_share	900
FY15	div_per_share	950
FY15	div_per_share	1000
FY15	div_per_share	1050
FY15	div_per_share	1100
FY15	div_per_share	1150
FY15	div_per_share	1200
FY15	div_per_share	1250
FY16	div_per_share	950
FY16	div_per_share	1000
FY16	div_per_share	1050
FY16	div_per_share	1100
FY16	div_per_share	1150
FY16	div_per_share	1200
FY16	div_per_share	1250
FY16	div_per_share	1300
FY16	div_per_share	1350
FY16	div_per_share	1400
FY16	div_per_share	1450
FY17	div_per_share	1250
FY17	div_per_share	1300
FY17	div_per_share	1350
FY17	div_per_share	1400
FY17	div_per_share	1450
FY17	div_per_share	1500
FY17	div_per_share	1550
FY17	div_per_share	1600
FY17	div_per_share	1650
FY17	div_per_share	1700
FY17	div_per_share	1750
FY18	div_per_share	1250
FY18	div_per_share	1300
FY18	div_per_share	1350
FY18	div_per_share	1400
FY18	div_per_share	1450
FY18	div_per_share	1500
FY18	div_per_share	1550
FY18	div_per_share	1600
FY18	div_per_share	1650
FY18	div_per_share	1700
FY18	div_per_share	1750
FY19	div_per_share	1750
FY19	div_per_share	1800
FY19	div_per_share	1850
FY19	div_per_share	1900
FY19	div_per_share	1950
FY19	div_per_share	2000
FY19	div_per_share	2050
FY19	div_per_share	2100
FY19	div_per_share	2150
FY19	div_per_share	2200
FY19	div_per_share	2250
FY15	div_per_share_P	0
FY15	div_per_share_P	0
FY15	div_per_share_P	5
FY15	div_per_share_P	10
FY15	div_per_share_P	20
FY15	div_per_share_P	30
FY15	div_per_share_P	20
FY15	div_per_share_P	10
FY15	div_per_share_P	5
FY15	div_per_share_P	0
FY15	div_per_share_P	0
FY16	div_per_share_P	0
FY16	div_per_share_P	0
FY16	div_per_share_P	10
FY16	div_per_share_P	20
FY16	div_per_share_P	40
FY16	div_per_share_P	20
FY16	div_per_share_P	10
FY16	div_per_share_P	0
FY16	div_per_share_P	0
FY16	div_per_share_P	0
FY16	div_per_share_P	0
FY17	div_per_share_P	0
FY17	div_per_share_P	0
FY17	div_per_share_P	5
FY17	div_per_share_P	10
FY17	div_per_share_P	20
FY17	div_per_share_P	30
FY17	div_per_share_P	20
FY17	div_per_share_P	10
FY17	div_per_share_P	5
FY17	div_per_share_P	0
FY17	div_per_share_P	0
FY18	div_per_share_P	0
FY18	div_per_share_P	0
FY18	div_per_share_P	10
FY18	div_per_share_P	20
FY18	div_per_share_P	40
FY18	div_per_share_P	20
FY18	div_per_share_P	10
FY18	div_per_share_P	0
FY18	div_per_share_P	0
FY18	div_per_share_P	0
FY18	div_per_share_P	0
FY19	div_per_share_P	0
FY19	div_per_share_P	0
FY19	div_per_share_P	5
FY19	div_per_share_P	10
FY19	div_per_share_P	20
FY19	div_per_share_P	30
FY19	div_per_share_P	20
FY19	div_per_share_P	10
FY19	div_per_share_P	5
FY19	div_per_share_P	0
FY19	div_per_share_P	0
FY15	wacc_short	0.1436
FY15	wacc_short	0.1486
FY15	wacc_short	0.1536
FY15	wacc_short	0.1586
FY15	wacc_short	0.1636
FY15	wacc_short	0.1686
FY15	wacc_short	0.1736
FY15	wacc_short	0.1786
FY15	wacc_short	0.1836
FY15	wacc_short	0.1886
FY15	wacc_short	0.1936
FY16	wacc_short	0.1436
FY16	wacc_short	0.1486
FY16	wacc_short	0.1536
FY16	wacc_short	0.1586
FY16	wacc_short	0.1636
FY16	wacc_short	0.1686
FY16	wacc_short	0.1736
FY16	wacc_short	0.1786
FY16	wacc_short	0.1836
FY16	wacc_short	0.1886
FY16	wacc_short	0.1936
FY17	wacc_short	0.1436
FY17	wacc_short	0.1486
FY17	wacc_short	0.1536
FY17	wacc_short	0.1586
FY17	wacc_short	0.1636
FY17	wacc_short	0.1686
FY17	wacc_short	0.1736
FY17	wacc_short	0.1786
FY17	wacc_short	0.1836
FY17	wacc_short	0.1886
FY17	wacc_short	0.1936
FY18	wacc_short	0.1436
FY18	wacc_short	0.1486
FY18	wacc_short	0.1536
FY18	wacc_short	0.1586
FY18	wacc_short	0.1636
FY18	wacc_short	0.1686
FY18	wacc_short	0.1736
FY18	wacc_short	0.1786
FY18	wacc_short	0.1836
FY18	wacc_short	0.1886
FY18	wacc_short	0.1936
FY19	wacc_short	0.1436
FY19	wacc_short	0.1486
FY19	wacc_short	0.1536
FY19	wacc_short	0.1586
FY19	wacc_short	0.1636
FY19	wacc_short	0.1686
FY19	wacc_short	0.1736
FY19	wacc_short	0.1786
FY19	wacc_short	0.1836
FY19	wacc_short	0.1886
FY19	wacc_short	0.1936
FY15	wacc_short_P	0
FY15	wacc_short_P	0
FY15	wacc_short_P	5
FY15	wacc_short_P	10
FY15	wacc_short_P	20
FY15	wacc_short_P	30
FY15	wacc_short_P	20
FY15	wacc_short_P	10
FY15	wacc_short_P	5
FY15	wacc_short_P	0
FY15	wacc_short_P	0
FY16	wacc_short_P	0
FY16	wacc_short_P	5
FY16	wacc_short_P	10
FY16	wacc_short_P	20
FY16	wacc_short_P	30
FY16	wacc_short_P	20
FY16	wacc_short_P	10
FY16	wacc_short_P	5
FY16	wacc_short_P	0
FY16	wacc_short_P	0
FY16	wacc_short_P	0
FY17	wacc_short_P	0
FY17	wacc_short_P	0
FY17	wacc_short_P	5
FY17	wacc_short_P	10
FY17	wacc_short_P	20
FY17	wacc_short_P	30
FY17	wacc_short_P	20
FY17	wacc_short_P	10
FY17	wacc_short_P	5
FY17	wacc_short_P	0
FY17	wacc_short_P	0
FY18	wacc_short_P	0
FY18	wacc_short_P	0
FY18	wacc_short_P	5
FY18	wacc_short_P	10
FY18	wacc_short_P	20
FY18	wacc_short_P	30
FY18	wacc_short_P	20
FY18	wacc_short_P	10
FY18	wacc_short_P	5
FY18	wacc_short_P	0
FY18	wacc_short_P	0
FY19	wacc_short_P	0
FY19	wacc_short_P	0
FY19	wacc_short_P	5
FY19	wacc_short_P	10
FY19	wacc_short_P	20
