PX LAST	DHA VM Equity
12-08-15	18100
11-08-15	18200
10-08-15	18300
07-08-15	18200
06-08-15	18300
05-08-15	18300
04-08-15	17800
03-08-15	17800
31-07-15	17800
30-07-15	17800
29-07-15	18000
28-07-15	17700
27-07-15	18100
24-07-15	18200
23-07-15	18200
22-07-15	18000
21-07-15	18400
20-07-15	18000
17-07-15	17900
16-07-15	18000
15-07-15	17900
14-07-15	18400
13-07-15	18800
10-07-15	18800
09-07-15	17700
08-07-15	17600
07-07-15	17600
06-07-15	17300
03-07-15	17300
02-07-15	17100
01-07-15	17100
30-06-15	17100
29-06-15	17300
26-06-15	17200
25-06-15	17100
24-06-15	17200
23-06-15	17100
22-06-15	17200
19-06-15	17400
18-06-15	17400
17-06-15	17500
16-06-15	17500
15-06-15	17500
12-06-15	17400
11-06-15	17400
10-06-15	17500
09-06-15	17500
08-06-15	17500
05-06-15	17700
04-06-15	17600
03-06-15	17600
02-06-15	17900
01-06-15	17900
29-05-15	17400
28-05-15	17500
27-05-15	17500
26-05-15	17500
25-05-15	17600
22-05-15	17500
21-05-15	16800
20-05-15	17200
19-05-15	17100
18-05-15	17400
15-05-15	17700
14-05-15	17200
13-05-15	17200
12-05-15	17000
11-05-15	17200
08-05-15	17300
07-05-15	17000
06-05-15	17500
05-05-15	17100
04-05-15	16900
27-04-15	17700
24-04-15	17600
23-04-15	17500
22-04-15	17600
21-04-15	17400
20-04-15	17500
17-04-15	16900
16-04-15	16900
15-04-15	16800
14-04-15	16800
13-04-15	16600
10-04-15	16700
09-04-15	16600
08-04-15	16500
07-04-15	16500
06-04-15	16400
03-04-15	16400
01-04-15	16300
31-03-15	16500
30-03-15	16100
27-03-15	16700
26-03-15	16700
25-03-15	16700
23-03-15	16600
20-03-15	16500
19-03-15	16500
18-03-15	16400
17-03-15	16800
16-03-15	16300
13-03-15	16400
12-03-15	16200
11-03-15	15300
10-03-15	15200
09-03-15	14700
06-03-15	14600
05-03-15	14600
04-03-15	14700
03-03-15	14600
02-03-15	14500
27-02-15	14700
26-02-15	14700
25-02-15	14700
24-02-15	14700
13-02-15	14700
12-02-15	14400
11-02-15	14300
10-02-15	14200
09-02-15	14400
06-02-15	14500
05-02-15	14200
04-02-15	14600
03-02-15	14700
02-02-15	14800
30-01-15	14900
29-01-15	14900
28-01-15	15100
27-01-15	15000
26-01-15	15000
23-01-15	15100
22-01-15	14600
21-01-15	14800
20-01-15	15200
19-01-15	15100
16-01-15	14400
15-01-15	14000
14-01-15	13800
13-01-15	13600
12-01-15	13300
09-01-15	13400
08-01-15	13600
07-01-15	13600
06-01-15	13600
05-01-15	13600
