Mine	Year	Variable	Value
M2	FY17	q_growth_P	5
M2	FY17	q_growth_P	10
M2	FY17	q_growth_P	20
M2	FY17	q_growth_P	30
M2	FY17	q_growth_P	20
M2	FY17	q_growth_P	10
M2	FY17	q_growth_P	5
M2	FY17	q_growth_P	0
M2	FY17	q_growth_P	0
M2	FY18	q_growth_P	0
M2	FY18	q_growth_P	0
M2	FY18	q_growth_P	5
M2	FY18	q_growth_P	10
M2	FY18	q_growth_P	20
M2	FY18	q_growth_P	30
M2	FY18	q_growth_P	20
M2	FY18	q_growth_P	10
M2	FY18	q_growth_P	5
M2	FY18	q_growth_P	0
M2	FY18	q_growth_P	0
M2	FY19	q_growth_P	0
M2	FY19	q_growth_P	0
M2	FY19	q_growth_P	5
M2	FY19	q_growth_P	10
M2	FY19	q_growth_P	20
M2	FY19	q_growth_P	30
M2	FY19	q_growth_P	20
M2	FY19	q_growth_P	10
M2	FY19	q_growth_P	5
M2	FY19	q_growth_P	0
M2	FY19	q_growth_P	0
M3	FY15	q_growth_P	0
M3	FY15	q_growth_P	0
M3	FY15	q_growth_P	5
M3	FY15	q_growth_P	10
M3	FY15	q_growth_P	20
M3	FY15	q_growth_P	30
M3	FY15	q_growth_P	20
M3	FY15	q_growth_P	10
M3	FY15	q_growth_P	5
M3	FY15	q_growth_P	0
M3	FY15	q_growth_P	0
M3	FY16	q_growth_P	0
M3	FY16	q_growth_P	0
M3	FY16	q_growth_P	5
M3	FY16	q_growth_P	10
M3	FY16	q_growth_P	20
M3	FY16	q_growth_P	30
M3	FY16	q_growth_P	20
M3	FY16	q_growth_P	10
M3	FY16	q_growth_P	5
M3	FY16	q_growth_P	0
M3	FY16	q_growth_P	0
M3	FY17	q_growth_P	0
M3	FY17	q_growth_P	0
M3	FY17	q_growth_P	5
M3	FY17	q_growth_P	10
M3	FY17	q_growth_P	20
M3	FY17	q_growth_P	30
M3	FY17	q_growth_P	20
M3	FY17	q_growth_P	10
M3	FY17	q_growth_P	5
M3	FY17	q_growth_P	0
M3	FY17	q_growth_P	0
M3	FY18	q_growth_P	0
M3	FY18	q_growth_P	0
M3	FY18	q_growth_P	5
M3	FY18	q_growth_P	10
M3	FY18	q_growth_P	20
M3	FY18	q_growth_P	30
M3	FY18	q_growth_P	20
M3	FY18	q_growth_P	10
M3	FY18	q_growth_P	5
M3	FY18	q_growth_P	0
M3	FY18	q_growth_P	0
M3	FY19	q_growth_P	0
M3	FY19	q_growth_P	0
M3	FY19	q_growth_P	5
M3	FY19	q_growth_P	10
M3	FY19	q_growth_P	20
M3	FY19	q_growth_P	30
M3	FY19	q_growth_P	20
M3	FY19	q_growth_P	10
M3	FY19	q_growth_P	5
M3	FY19	q_growth_P	0
M3	FY19	q_growth_P	0
M1	FY15	p_growth	0.1
M1	FY15	p_growth	0.11
M1	FY15	p_growth	0.12
M1	FY15	p_growth	0.13
M1	FY15	p_growth	0.14
M1	FY15	p_growth	0.15
M1	FY15	p_growth	0.16
M1	FY15	p_growth	0.17
M1	FY15	p_growth	0.18
M1	FY15	p_growth	0.19
M1	FY15	p_growth	0.2
M1	FY16	p_growth	0
M1	FY16	p_growth	0.01
M1	FY16	p_growth	0.02
M1	FY16	p_growth	0.03
M1	FY16	p_growth	0.04
M1	FY16	p_growth	0.05
M1	FY16	p_growth	0.06
M1	FY16	p_growth	0.07
M1	FY16	p_growth	0.08
M1	FY16	p_growth	0.09
M1	FY16	p_growth	0.1
M1	FY17	p_growth	0
M1	FY17	p_growth	0.01
M1	FY17	p_growth	0.02
M1	FY17	p_growth	0.03
M1	FY17	p_growth	0.04
M1	FY17	p_growth	0.05
M1	FY17	p_growth	0.06
M1	FY17	p_growth	0.07
M1	FY17	p_growth	0.08
M1	FY17	p_growth	0.09
M1	FY17	p_growth	0.1
M1	FY18	p_growth	0
M1	FY18	p_growth	0.01
M1	FY18	p_growth	0.02
M1	FY18	p_growth	0.03
M1	FY18	p_growth	0.04
M1	FY18	p_growth	0.05
M1	FY18	p_growth	0.06
M1	FY18	p_growth	0.07
M1	FY18	p_growth	0.08
M1	FY18	p_growth	0.09
M1	FY18	p_growth	0.1
M1	FY19	p_growth	0
M1	FY19	p_growth	0.01
M1	FY19	p_growth	0.02
M1	FY19	p_growth	0.03
M1	FY19	p_growth	0.04
M1	FY19	p_growth	0.05
M1	FY19	p_growth	0.06
M1	FY19	p_growth	0.07
M1	FY19	p_growth	0.08
M1	FY19	p_growth	0.09
M1	FY19	p_growth	0.1
M2	FY15	p_growth	-0.03
M2	FY15	p_growth	-0.02
M2	FY15	p_growth	-0.01
M2	FY15	p_growth	0
M2	FY15	p_growth	0.01
M2	FY15	p_growth	0.02
M2	FY15	p_growth	0.03
M2	FY15	p_growth	0.04
M2	FY15	p_growth	0.05
M2	FY15	p_growth	0.06
M2	FY15	p_growth	0.07
M2	FY16	p_growth	0.02
M2	FY16	p_growth	0.03
M2	FY16	p_growth	0.04
M2	FY16	p_growth	0.05
M2	FY16	p_growth	0.06
M2	FY16	p_growth	0.07
M2	FY16	p_growth	0.08
M2	FY16	p_growth	0.09
M2	FY16	p_growth	0.1
M2	FY16	p_growth	0.11
M2	FY16	p_growth	0.12
M2	FY17	p_growth	0
M2	FY17	p_growth	0.01
M2	FY17	p_growth	0.02
M2	FY17	p_growth	0.03
M2	FY17	p_growth	0.04
M2	FY17	p_growth	0.05
M2	FY17	p_growth	0.06
M2	FY17	p_growth	0.07
M2	FY17	p_growth	0.08
M2	FY17	p_growth	0.09
M2	FY17	p_growth	0.1
M2	FY18	p_growth	0
M2	FY18	p_growth	0.01
M2	FY18	p_growth	0.02
M2	FY18	p_growth	0.03
M2	FY18	p_growth	0.04
M2	FY18	p_growth	0.05
M2	FY18	p_growth	0.06
M2	FY18	p_growth	0.07
M2	FY18	p_growth	0.08
M2	FY18	p_growth	0.09
M2	FY18	p_growth	0.1
M2	FY19	p_growth	0
M2	FY19	p_growth	0.01
M2	FY19	p_growth	0.02
M2	FY19	p_growth	0.03
M2	FY19	p_growth	0.04
M2	FY19	p_growth	0.05
M2	FY19	p_growth	0.06
M2	FY19	p_growth	0.07
M2	FY19	p_growth	0.08
M2	FY19	p_growth	0.09
M2	FY19	p_growth	0.1
M3	FY15	p_growth	-0.011
M3	FY15	p_growth	-0.001
M3	FY15	p_growth	0.009
M3	FY15	p_growth	0.019
M3	FY15	p_growth	0.029
M3	FY15	p_growth	0.039
M3	FY15	p_growth	0.049
M3	FY15	p_growth	0.059
M3	FY15	p_growth	0.069
M3	FY15	p_growth	0.079
M3	FY15	p_growth	0.089
M3	FY16	p_growth	0.012
M3	FY16	p_growth	0.022
M3	FY16	p_growth	0.032
M3	FY16	p_growth	0.042
M3	FY16	p_growth	0.052
M3	FY16	p_growth	0.062
M3	FY16	p_growth	0.072
M3	FY16	p_growth	0.082
M3	FY16	p_growth	0.092
M3	FY16	p_growth	0.102
M3	FY16	p_growth	0.112
M3	FY17	p_growth	0.008
M3	FY17	p_growth	0.018
M3	FY17	p_growth	0.028
M3	FY17	p_growth	0.038
M3	FY17	p_growth	0.048
M3	FY17	p_growth	0.058
M3	FY17	p_growth	0.068
M3	FY17	p_growth	0.078
M3	FY17	p_growth	0.088
M3	FY17	p_growth	0.098
M3	FY17	p_growth	0.108
M3	FY18	p_growth	0.5
M3	FY18	p_growth	0.51
M3	FY18	p_growth	0.52
M3	FY18	p_growth	0.53
M3	FY18	p_growth	0.54
M3	FY18	p_growth	0.55
M3	FY18	p_growth	0.56
M3	FY18	p_growth	0.57
M3	FY18	p_growth	0.58
M3	FY18	p_growth	0.59
M3	FY18	p_growth	0.6
M3	FY19	p_growth	0
M3	FY19	p_growth	0.01
M3	FY19	p_growth	0.02
M3	FY19	p_growth	0.03
M3	FY19	p_growth	0.04
M3	FY19	p_growth	0.05
M3	FY19	p_growth	0.06
M3	FY19	p_growth	0.07
M3	FY19	p_growth	0.08
M3	FY19	p_growth	0.09
M3	FY19	p_growth	0.1
M1	FY15	p_growth_P	0
M1	FY15	p_growth_P	0
M1	FY15	p_growth_P	5
M1	FY15	p_growth_P	10
M1	FY15	p_growth_P	20
M1	FY15	p_growth_P	30
M1	FY15	p_growth_P	20
M1	FY15	p_growth_P	10
M1	FY15	p_growth_P	5
M1	FY15	p_growth_P	0
M1	FY15	p_growth_P	0
M1	FY16	p_growth_P	0
M1	FY16	p_growth_P	0
M1	FY16	p_growth_P	0
M1	FY16	p_growth_P	10
M1	FY16	p_growth_P	20
M1	FY16	p_growth_P	40
M1	FY16	p_growth_P	20
M1	FY16	p_growth_P	10
M1	FY16	p_growth_P	0
M1	FY16	p_growth_P	0
M1	FY16	p_growth_P	0
M1	FY17	p_growth_P	0
M1	FY17	p_growth_P	0
M1	FY17	p_growth_P	5
M1	FY17	p_growth_P	10
M1	FY17	p_growth_P	20
M1	FY17	p_growth_P	30
M1	FY17	p_growth_P	20
M1	FY17	p_growth_P	10
M1	FY17	p_growth_P	5
M1	FY17	p_growth_P	0
M1	FY17	p_growth_P	0
M1	FY18	p_growth_P	0
M1	FY18	p_growth_P	0
M1	FY18	p_growth_P	0
M1	FY18	p_growth_P	10
M1	FY18	p_growth_P	20
M1	FY18	p_growth_P	40
M1	FY18	p_growth_P	20
M1	FY18	p_growth_P	10
M1	FY18	p_growth_P	0
M1	FY18	p_growth_P	0
M1	FY18	p_growth_P	0
M1	FY19	p_growth_P	0
M1	FY19	p_growth_P	0
M1	FY19	p_growth_P	5
M1	FY19	p_growth_P	10
M1	FY19	p_growth_P	20
M1	FY19	p_growth_P	30
M1	FY19	p_growth_P	20
M1	FY19	p_growth_P	10
M1	FY19	p_growth_P	5
M1	FY19	p_growth_P	0
M1	FY19	p_growth_P	0
M2	FY15	p_growth_P	0
M2	FY15	p_growth_P	0
M2	FY15	p_growth_P	5
M2	FY15	p_growth_P	10
M2	FY15	p_growth_P	20
M2	FY15	p_growth_P	30
M2	FY15	p_growth_P	20
M2	FY15	p_growth_P	10
M2	FY15	p_growth_P	5
M2	FY15	p_growth_P	0
M2	FY15	p_growth_P	0
M2	FY16	p_growth_P	0
M2	FY16	p_growth_P	0
M2	FY16	p_growth_P	5
M2	FY16	p_growth_P	10
M2	FY16	p_growth_P	20
M2	FY16	p_growth_P	30
M2	FY16	p_growth_P	20
M2	FY16	p_growth_P	10
M2	FY16	p_growth_P	5
M2	FY16	p_growth_P	0
M2	FY16	p_growth_P	0
M2	FY17	p_growth_P	0
M2	FY17	p_growth_P	0
M2	FY17	p_growth_P	0
M2	FY17	p_growth_P	10
M2	FY17	p_growth_P	20
M2	FY17	p_growth_P	40
M2	FY17	p_growth_P	20
M2	FY17	p_growth_P	10
M2	FY17	p_growth_P	0
M2	FY17	p_growth_P	0
M2	FY17	p_growth_P	0
M2	FY18	p_growth_P	0
M2	FY18	p_growth_P	0
M2	FY18	p_growth_P	10
M2	FY18	p_growth_P	20
M2	FY18	p_growth_P	40
M2	FY18	p_growth_P	20
M2	FY18	p_growth_P	10
M2	FY18	p_growth_P	0
M2	FY18	p_growth_P	0
M2	FY18	p_growth_P	0
M2	FY18	p_growth_P	0
M2	FY19	p_growth_P	0
M2	FY19	p_growth_P	0
M2	FY19	p_growth_P	5
M2	FY19	p_growth_P	10
M2	FY19	p_growth_P	20
M2	FY19	p_growth_P	30
M2	FY19	p_growth_P	20
M2	FY19	p_growth_P	10
M2	FY19	p_growth_P	5
M2	FY19	p_growth_P	0
M2	FY19	p_growth_P	0
M3	FY15	p_growth_P	0
M3	FY15	p_growth_P	0
M3	FY15	p_growth_P	0
M3	FY15	p_growth_P	10
M3	FY15	p_growth_P	20
M3	FY15	p_growth_P	40
M3	FY15	p_growth_P	20
M3	FY15	p_growth_P	10
M3	FY15	p_growth_P	0
M3	FY15	p_growth_P	0
M3	FY15	p_growth_P	0
M3	FY16	p_growth_P	0
M3	FY16	p_growth_P	0
M3	FY16	p_growth_P	0
M3	FY16	p_growth_P	10
M3	FY16	p_growth_P	20
M3	FY16	p_growth_P	40
M3	FY16	p_growth_P	20
M3	FY16	p_growth_P	10
M3	FY16	p_growth_P	0
M3	FY16	p_growth_P	0
M3	FY16	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	100
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY17	p_growth_P	0
M3	FY18	p_growth_P	0
M3	FY18	p_growth_P	0
M3	FY18	p_growth_P	5
M3	FY18	p_growth_P	10
M3	FY18	p_growth_P	20
M3	FY18	p_growth_P	30
M3	FY18	p_growth_P	20
M3	FY18	p_growth_P	10
M3	FY18	p_growth_P	5
M3	FY18	p_growth_P	0
M3	FY18	p_growth_P	0
M3	FY19	p_growth_P	0
M3	FY19	p_growth_P	0
M3	FY19	p_growth_P	0
M3	FY19	p_growth_P	10
M3	FY19	p_growth_P	20
M3	FY19	p_growth_P	40
M3	FY19	p_growth_P	20
M3	FY19	p_growth_P	10
M3	FY19	p_growth_P	0
M3	FY19	p_growth_P	0
M3	FY19	p_growth_P	0
M1	FY15	proc_cost	-0.04
M1	FY15	proc_cost	-0.03
M1	FY15	proc_cost	-0.02
M1	FY15	proc_cost	-0.01
M1	FY15	proc_cost	0
M1	FY15	proc_cost	0.01
M1	FY15	proc_cost	0.02
M1	FY15	proc_cost	0.03
M1	FY15	proc_cost	0.04
M1	FY15	proc_cost	0.05
M1	FY15	proc_cost	0.06
M1	FY16	proc_cost	0
M1	FY16	proc_cost	0.01
M1	FY16	proc_cost	0.02
M1	FY16	proc_cost	0.03
M1	FY16	proc_cost	0.04
M1	FY16	proc_cost	0.05
M1	FY16	proc_cost	0.06
M1	FY16	proc_cost	0.07
M1	FY16	proc_cost	0.08
M1	FY16	proc_cost	0.09
M1	FY16	proc_cost	0.1
M1	FY17	proc_cost	0
M1	FY17	proc_cost	0.01
M1	FY17	proc_cost	0.02
M1	FY17	proc_cost	0.03
M1	FY17	proc_cost	0.04
M1	FY17	proc_cost	0.05
M1	FY17	proc_cost	0.06
M1	FY17	proc_cost	0.07
M1	FY17	proc_cost	0.08
M1	FY17	proc_cost	0.09
M1	FY17	proc_cost	0.1
M1	FY18	proc_cost	0
M1	FY18	proc_cost	0.01
M1	FY18	proc_cost	0.02
M1	FY18	proc_cost	0.03
M1	FY18	proc_cost	0.04
M1	FY18	proc_cost	0.05
M1	FY18	proc_cost	0.06
M1	FY18	proc_cost	0.07
M1	FY18	proc_cost	0.08
M1	FY18	proc_cost	0.09
M1	FY18	proc_cost	0.1
M1	FY19	proc_cost	0
M1	FY19	proc_cost	0.01
M1	FY19	proc_cost	0.02
M1	FY19	proc_cost	0.03
M1	FY19	proc_cost	0.04
M1	FY19	proc_cost	0.05
M1	FY19	proc_cost	0.06
M1	FY19	proc_cost	0.07
M1	FY19	proc_cost	0.08
M1	FY19	proc_cost	0.09
M1	FY19	proc_cost	0.1
M2	FY15	proc_cost	0.01
M2	FY15	proc_cost	0.02
M2	FY15	proc_cost	0.03
M2	FY15	proc_cost	0.04
M2	FY15	proc_cost	0.05
M2	FY15	proc_cost	0.06
M2	FY15	proc_cost	0.07
M2	FY15	proc_cost	0.08
M2	FY15	proc_cost	0.09
M2	FY15	proc_cost	0.1
M2	FY15	proc_cost	0.11
M2	FY16	proc_cost	0.01
M2	FY16	proc_cost	0.02
M2	FY16	proc_cost	0.03
M2	FY16	proc_cost	0.04
M2	FY16	proc_cost	0.05
M2	FY16	proc_cost	0.06
M2	FY16	proc_cost	0.07
M2	FY16	proc_cost	0.08
M2	FY16	proc_cost	0.09
M2	FY16	proc_cost	0.1
M2	FY16	proc_cost	0.11
M2	FY17	proc_cost	0.01
M2	FY17	proc_cost	0.02
M2	FY17	proc_cost	0.03
M2	FY17	proc_cost	0.04
M2	FY17	proc_cost	0.05
M2	FY17	proc_cost	0.06
M2	FY17	proc_cost	0.07
M2	FY17	proc_cost	0.08
M2	FY17	proc_cost	0.09
M2	FY17	proc_cost	0.1
M2	FY17	proc_cost	0.11
M2	FY18	proc_cost	0.01
M2	FY18	proc_cost	0.02
M2	FY18	proc_cost	0.03
M2	FY18	proc_cost	0.04
M2	FY18	proc_cost	0.05
M2	FY18	proc_cost	0.06
M2	FY18	proc_cost	0.07
M2	FY18	proc_cost	0.08
M2	FY18	proc_cost	0.09
M2	FY18	proc_cost	0.1
M2	FY18	proc_cost	0.11
M2	FY19	proc_cost	0.01
M2	FY19	proc_cost	0.02
M2	FY19	proc_cost	0.03
M2	FY19	proc_cost	0.04
M2	FY19	proc_cost	0.05
M2	FY19	proc_cost	0.06
M2	FY19	proc_cost	0.07
M2	FY19	proc_cost	0.08
M2	FY19	proc_cost	0.09
M2	FY19	proc_cost	0.1
M2	FY19	proc_cost	0.11
M3	FY15	proc_cost	-0.04
M3	FY15	proc_cost	-0.03
M3	FY15	proc_cost	-0.02
M3	FY15	proc_cost	-0.01
M3	FY15	proc_cost	0
M3	FY15	proc_cost	0.01
M3	FY15	proc_cost	0.02
M3	FY15	proc_cost	0.03
M3	FY15	proc_cost	0.04
M3	FY15	proc_cost	0.05
M3	FY15	proc_cost	0.06
M3	FY16	proc_cost	-0.04
M3	FY16	proc_cost	-0.03
M3	FY16	proc_cost	-0.02
M3	FY16	proc_cost	-0.01
M3	FY16	proc_cost	0
M3	FY16	proc_cost	0.01
M3	FY16	proc_cost	0.02
M3	FY16	proc_cost	0.03
M3	FY16	proc_cost	0.04
M3	FY16	proc_cost	0.05
M3	FY16	proc_cost	0.06
M3	FY17	proc_cost	-0.04
M3	FY17	proc_cost	-0.03
M3	FY17	proc_cost	-0.02
M3	FY17	proc_cost	-0.01
M3	FY17	proc_cost	0
M3	FY17	proc_cost	0.01
M3	FY17	proc_cost	0.02
M3	FY17	proc_cost	0.03
M3	FY17	proc_cost	0.04
M3	FY17	proc_cost	0.05
M3	FY17	proc_cost	0.06
M3	FY18	proc_cost	-0.04
M3	FY18	proc_cost	-0.03
M3	FY18	proc_cost	-0.02
M3	FY18	proc_cost	-0.01
M3	FY18	proc_cost	0
M3	FY18	proc_cost	0.01
M3	FY18	proc_cost	0.02
M3	FY18	proc_cost	0.03
M3	FY18	proc_cost	0.04
M3	FY18	proc_cost	0.05
M3	FY18	proc_cost	0.06
M3	FY19	proc_cost	-0.04
M3	FY19	proc_cost	-0.03
M3	FY19	proc_cost	-0.02
M3	FY19	proc_cost	-0.01
M3	FY19	proc_cost	0
M3	FY19	proc_cost	0.01
M3	FY19	proc_cost	0.02
M3	FY19	proc_cost	0.03
M3	FY19	proc_cost	0.04
M3	FY19	proc_cost	0.05
M3	FY19	proc_cost	0.06
M1	FY15	proc_cost_P	0
M1	FY15	proc_cost_P	0
M1	FY15	proc_cost_P	5
M1	FY15	proc_cost_P	10
M1	FY15	proc_cost_P	20
M1	FY15	proc_cost_P	30
M1	FY15	proc_cost_P	20
M1	FY15	proc_cost_P	10
M1	FY15	proc_cost_P	5
M1	FY15	proc_cost_P	0
M1	FY15	proc_cost_P	0
M1	FY16	proc_cost_P	0
M1	FY16	proc_cost_P	0
M1	FY16	proc_cost_P	0
M1	FY16	proc_cost_P	10
M1	FY16	proc_cost_P	20
M1	FY16	proc_cost_P	40
M1	FY16	proc_cost_P	20
M1	FY16	proc_cost_P	10
M1	FY16	proc_cost_P	0
M1	FY16	proc_cost_P	0
M1	FY16	proc_cost_P	0
M1	FY17	proc_cost_P	0
M1	FY17	proc_cost_P	0
M1	FY17	proc_cost_P	5
M1	FY17	proc_cost_P	10
M1	FY17	proc_cost_P	20
M1	FY17	proc_cost_P	30
M1	FY17	proc_cost_P	20
M1	FY17	proc_cost_P	10
M1	FY17	proc_cost_P	5
M1	FY17	proc_cost_P	0
M1	FY17	proc_cost_P	0
M1	FY18	proc_cost_P	0
M1	FY18	proc_cost_P	0
